GRUPO;NOMBRE GIRA;AÑO;MES;MERCADO;PAÍS;CIUDAD;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
Stray Kids;5-STAR Dome Tour Special;2023;10;Corea del Sur;Corea del Sur;Seúl;Gocheok Sky Dome;25000;82;115
Stray Kids;5-STAR Dome Tour Special;2023;10;Corea del Sur;Corea del Sur;Seúl;Gocheok Sky Dome;25000;82;115
aespa;"1st Live Tour ""Synk: Hyper Line""";2023;6;Sudeste asiático;Indonesia;Yakarta;Indonesia Convention Exhibition;4750;110;183
aespa;"1st Live Tour ""Synk: Hyper Line""";2023;8;Japón;Japón;Tokio;Tokyo Dome;42000;96;96
aespa;"1st Live Tour ""Synk: Hyper Line""";2023;8;Japón;Japón;Tokio;Tokyo Dome;42000;96;96
aespa;"1st Live Tour ""Synk: Hyper Line""";2023;8;Estados Unidos;Estados Unidos;Los Ángeles;Crypto.com Arena;20000;150;3000
aespa;"1st Live Tour ""Synk: Hyper Line""";2023;8;Estados Unidos;Estados Unidos;Atlanta;Fox Theatre;4665;90;356
aespa;"1st Live Tour ""Synk: Hyper Line""";2023;9;México;México;Ciudad de México;Palacio De Los Deportes;17800;62;207
aespa;"1st Live Tour ""Synk: Hyper Line""";2023;9;Brasil;Brasil;São Paulo;Espaço Unimed;25000;83;342
aespa;"1st Live Tour ""Synk: Hyper Line""";2023;9;América Latina;Chile;Santiago de Chile;Teatro Caupolicán;7000;64;246
aespa;"1st Live Tour ""Synk: Hyper Line""";2023;9;Europa;Inglaterra;Londres;The O2;20000;70;180
aespa;"1st Live Tour ""Synk: Hyper Line""";2023;9;Europa;Francia;París;Dôme de Paris;4600;60;3000
I-DLE;I Am FREE-TY;2023;6;Corea del Sur;Corea del Sur;Seúl;Jamsil Indoor Stadium;10000;80;120
I-DLE;I Am FREE-TY;2023;6;Corea del Sur;Corea del Sur;Seúl;Jamsil Indoor Stadium;10000;80;120
I-DLE;I Am FREE-TY;2023;7;China;Taiwán;Taipéi;Taipei Music Center;6000;70;150
I-DLE;I Am FREE-TY;2023;7;China;Taiwán;Taipéi;Taipei Music Center;10000;70;150
I-DLE;I Am FREE-TY;2023;7;Sudeste asiático;Tailandia;Bangkok;Thunder Dome;7000;80;190
I-DLE;I Am FREE-TY;2023;7;China;China;Hong Kong;Asia World Expo Hall 10;10000;90;230
I-DLE;I Am FREE-TY;2023;7;China;China;Hong Kong;Asia World Expo Hall 10;10000;90;230
I-DLE;I Am FREE-TY;2023;8;Estados Unidos;Estados Unidos;San Francisco;Bill Graham Civic Auditorium;7000;65;275
I-DLE;I Am FREE-TY;2023;8;Estados Unidos;Estados Unidos;Los Ángeles;Microsoft Theater;7100;65;275
I-DLE;I Am FREE-TY;2023;8;Estados Unidos;Estados Unidos;Dallas;Texas Trust Cu Theatre;6350;65;275
I-DLE;I Am FREE-TY;2023;8;Estados Unidos;Estados Unidos;Nueva York;The Theater At MSG;5600;65;275
I-DLE;I Am FREE-TY;2023;8;Estados Unidos;Estados Unidos;Atlanta;Fox Theatre;4665;65;275
I-DLE;I Am FREE-TY;2023;8;Estados Unidos;Estados Unidos;Chicago;Rosemont Theatre;4400;65;275
I-DLE;I Am FREE-TY;2023;9;Europa;Inglaterra;Londres;OVO Arena Wembley;12500;55;250
I-DLE;I Am FREE-TY;2023;9;Europa;Países Bajos;Ámsterdam;AFAS Live;6000;60;270
I-DLE;I Am FREE-TY;2023;9;Europa;Francia;París;Zenith Paris - La Villette;6000;55;250
I-DLE;I Am FREE-TY;2023;9;Europa;Bélgica;Región de Bruselas-Capital;Vorst National;8000;60;280
I-DLE;I Am FREE-TY;2023;9;Europa;Alemania;Berlín;Verti Music Hall;4500;60;250
I-DLE;I Am FREE-TY;2023;9;Europa;Alemania;Berlín;Verti Music Hall;4500;60;250
I-DLE;I Am FREE-TY;2023;9;Japón;Japón;Tokio;Thachikawa Stage Garden;2500;70;150
I-DLE;I Am FREE-TY;2023;9;Japón;Japón;Tokio;Thachikawa Stage Garden;2500;70;150
I-DLE;I Am FREE-TY;2023;10;China;China;Macao;Galaxy Arena;18000;80;200
I-DLE;I Am FREE-TY;2023;10;Sudeste asiático;Singapur;Singapur;Singapore Indoor Stadium;13000;130;180
Super Junior;Super Show 9: Road;2023;2;América Latina;Chile;Santiago de Chile;Movistar Arena;16522;51;192
Super Junior;Super Show 9: Road;2023;2;América Latina;Chile;Santiago de Chile;Movistar Arena;16522;51;192
Super Junior;Delight Party FanCon 2023;2023;11;América Latina;Chile;Santiago de Chile;Teatro Caupolicán;7000;64;192
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;4;Corea del Sur;Corea del Sur;Seúl;KSPO Dome;15000;50;55
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;5;Oceanía ;Australia;Sídney;Qudos Bank Arena;21000;132;234
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;5;Oceanía ;Australia;Melbourne;Rod Laver Arena;14200;132;234
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;5;Japón ;Japón;Osaka;Yanmar Stadium Nagai;50000;70;91
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;5;Japón ;Japón;Tokio;Ajinomoto Stadium;48013;70;91
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;6;Estados Unidos ;Estados Unidos;Los Ángeles;Sofi Stadium;70000;60;480
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;6;Estados Unidos ;Estados Unidos;Oakland;Oakland Arena;19200;60;480
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;6;Estados Unidos ;Estados Unidos;Tacoma;Tacoma Dome;23000;60;480
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;6;Estados Unidos ;Estados Unidos;Arlington;Globe Life Field;40300;60;480
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;6;Estados Unidos ;Estados Unidos;Houston;Toyota Center;19000;60;480
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;6;Estados Unidos ;Estados Unidos;Chicago;United Center;23500;60;480
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;7;América del Norte;Canadá;Toronto;Scotiabank Arena;19800;50;180
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;7;Estados Unidos ;Estados Unidos;New Jersey;Metlife Stadium;82500;60;480
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;7;Estados Unidos ;Estados Unidos;Atlanta;Truist Park;41084;60;480
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;9;Sudeste Asiático;Singapur ;Singapur;Singapore Indoor Stadium;12000;135;266
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;9;Europa ;Inglaterra;Londres;The O2;20000;88;194
TWICE;"TWICE 5th World Tour ""Ready To Be""";2023;9;Europa ;Francia;París;Accor Arena;20300;114;266
