GRUPO,NOMBRE GIRA,AÑO,MES,MERCADO,PAÍS,CIUDAD,RECINTO,CAPACIDAD,ENTRADA MÁS BARATA,ENTRADA MÁS CARA
Stray Kids," 2nd World Tour ""Maniac""",2022,6,Japón,Japón,Kōbe,World Memorial Hall,8000, Sin datos , Sin datos 
Stray Kids," 2nd World Tour ""Maniac""",2022,6,Japón,Japón,Kōbe,World Memorial Hall,13000, Sin datos , Sin datos 
SEVENTEEN,"SEVENTEEN 1st Asia Tour ""Shining Diamond""",2016,8,Oceanía ,Australia ,Sídney,Bog Top Sydney,2950, $62.32 , $138.64 
SEVENTEEN,"SEVENTEEN 1st Asia Tour ""Shining Diamond""",2016,8,Oceanía ,Nueva Zelanda,Auckland,The Trusts Arena ,4901, $52.33 , $129.63 
SEVENTEEN,"SEVENTEEN 1st Asia Tour ""Shining Diamond""",2016,9,China,China ,Hong Kong,KITEC,3600, $74.75 , $255.17 
SHINee,"SHINee Concert ""SHINee World V"" ",2017,3,Estados Unidos,Estados Unidos,Dallas,Verizon Theratre,6350, $65.00 , $215.00 
SHINee,"SHINee Concert ""SHINee World V"" ",2017,3,Estados Unidos,Estados Unidos,Los Ángeles,Shrine Auditorium,6300, $65.00 , $215.00 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,3,América Latina,Chile ,Santiago ,Movistar Arena ,16522, $29.73 , $166.47 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,3,Brasil,Brasil ,Sao Paulo ,City Bank Hall,8500, $10.33 , $111.93 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,3,Estados Unidos ,Estados Unidos ,Nueva York ,Prudential Center ,16755, $50.00 , $250.00 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,3,Estados Unidos ,Estados Unidos ,Chicago,Allstate Arena ,18500, $50.00 , $250.00 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,4,Estados Unidos ,Estados Unidos ,California ,Honda Center,18336, $50.00 , $250.00 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,4,Sudeste Asiático,Tailandia ,Bangkok,Impact Arena ,12000, $54.36 , $181.20 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,4,Sudeste Asiático,Indonesia ,Yakarta,Indonesia Convention Exhibition,10000, $59.44 , $178.32 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,5,Sudeste Asiático,Filipinas ,Manila ,Mall Of Asia Center,15000, $17.66 , $185.48 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,5,China,China ,Hong Kong ,Asia World Expo Arena ,14000, $74.75 , $216.51 
Stray Kids," 2nd World Tour ""Maniac""",2022,7,Japón,Japón,Tokio,Yoyogi National Stadium 1st Gymnasium,13000, Sin datos , Sin datos 
Stray Kids," 2nd World Tour ""Maniac""",2022,7,Japón,Japón,Tokio,Yoyogi National Stadium 1st Gymnasium,15000, Sin datos , Sin datos 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,5,Oceanía ,Australia ,Sídney,Qudos Bank Arena ,21000, $63.95 , $220.06 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,5,Japón ,Japón,Osaka ,Osaka Jo-Hall,16000, $61.48 , $78.95 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,6,Japón ,Japón,Hiroshima ,Hiroshima Green Arena ,10000, $61.48 , $78.95 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,6,Japón ,Japón,Nagoya ,Nippon Gaishi Hall,10000, $61.48 , $78.95 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,6,Japón ,Japón,Fukuoka ,Marine Messe Fukuoka ,15000, $61.48 , $78.95 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,7,Japón ,Japón,Sapporo,Makomanai Sekisui Heim Ice Arena ,10024, $61.48 , $78.95 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,10,Japón ,Japón,Osaka ,Kyocera Dome ,55000, $61.48 , $78.95 
Stray Kids," 2nd World Tour ""Maniac""",2023,2,Japón,Japón,Saitama,Saitama Super Arena,36500, Sin datos , Sin datos 
Stray Kids," 2nd World Tour ""Maniac""",2023,2,Japón,Japón,Saitama,Saitama Super Arena,36500, Sin datos , Sin datos 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,10,China,Taiwán,Taipéi,Multipurpose Gymnasium National,15000, $55.48 , $209.59 
BTS,"BTS Live Trilogy Episode III ""The Wings Tour""",2017,11,China,China ,Macao ,Cotai Arena ,14000, $85.07 , $297.74 
TWICE,TWICELAND The Opening,2017,4,Sudeste Asiático,Tailandia,Bangkok,Thunder Dome,15000, $53.61 , $163.81 
TWICE,TWICELAND The Opening,2017,4,Sudeste Asiático,Singapur ,Singapur,The Star Performing Arts Centre,5000, $127.66 , $218.84 
Stray Kids," 2nd World Tour ""Maniac""",2023,2,Japón,Japón,Osaka,Kyocera Dome Osaka,36418, Sin datos , Sin datos 
Stray Kids," 2nd World Tour ""Maniac""",2023,2,Japón,Japón,Osaka,Kyocera Dome Osaka,36418, Sin datos , Sin datos 
SEVENTEEN,"SEVENTEEN 1st World Tour ""Diamond Edge""",2017,8,Sudeste Asiático,Tailandia ,Bangkok,Thunder Dome,15000, $53.62 , $143.00 
