Column1;Column2;Column3;Column4;Column5;Column6
Episode (ex Vitamin Angel);에피소드;Pops Entertainment;"2015 - 2019; 2020 - presente";Mujeres;5
Sunny Girls;써니걸스;SBS Contents Hub;2016;Mujeres;5
A.Some;어썸;The Solution;2016 - 2017;Mujeres;5
D.el;디엘;R.A.C. Entertainment;2016 - 2017;Mujeres;5
Dorothy;도로시;Leek.Mill;2016 - 2017;Mujeres;5
I.B.I;아이비아이;LOEN Entertainment;2016 - 2017;Mujeres;5
MIXX;믹스;Chiko Bros Entertainment;2016 - 2017;Mujeres;5
Oh!Bliss;오블리스;JT Corea Entertainment;2016 - 2017;Mujeres;5
Ureka;유레카;HY Entertainment;2016 - 2017;Mujeres;5
Bulldok;불독;INNOK Entertainment;2016 - 2018;Mujeres;5
SUPA;슈파;GA Entertainment;2016 - 2018;Mujeres;5
Switch Berry[n 42]​;스위치 베리;DAM Entertainment;2016 - 2018;Mujeres;5
Holics;홀로그램;LPA Entertainment;2016 - 2021;Mujeres;5
H.U.B;허브;New Planet Entertainment;2016 - presente;Mujeres;5
Good Morning[n 48]​;좋은 아침;C9 Entertainment;2017;Mujeres;5
PIT A PAT;피터패트;PIT A PAT Entertainment;2017;Mujeres;5
1NB;원앤비;Tribus Entertainment;2017 - 2018;Mujeres;5
AMOR;아모르;Troy Entertainment;2017 - 2018;Mujeres;5
APPLE.B;애플비;GH Entertainment;2017 - 2018;Mujeres;5
P.O.P;피오피;DBW Entertainment;2017 - 2018;Mujeres;5
Marmello;마르멜로;Rolling CultureOne;2017 - 2019;Mujeres;5
Yellow Bee;옐로비;Addiction Entertainment;2017 - 2020;Mujeres;5
Blah Blah;블라블라;FAB Entertainment;2017 - presente;Mujeres;5
Girl's Alert;소녀주의보;Roots Entertainment;2017 - presente;Mujeres;5
HINT;힌트;Star Pro Entertainment;2017 - presente;Mujeres;5
Littles;리틀즈;Nega Network;2012;Mujeres;3
2winD;투윈드;;2012 - 2013;Mujeres;2
84LY;에잇폴리;ShowM;2012 - 2013;Mujeres;6
BBde Girl;비비드걸;BigStar Entertainment;2012 - 2013;Mujeres;6
BTSwing;비티스윙;101 Doors Entertainment;2012 - 2013;Mujeres;2
Jevice;주비스;DreamTea Entertainment;2012 - 2013;Mujeres;2
Gangkiz;갱키즈;MBK Entertainment;2012 - 2014;Mujeres;7
Rainbow Pixie[n 13]​;레인보우 픽시;DSP Media;2012 - 2016;Mujeres;3
Girls' Generation-TTS[n 14]​;소녀시대-태티서;S.M. Entertainment;2012 - 2017;Mujeres;3
Fiestar;피에스타;Kakao M;"2012 - 2018; 2024 - presente";Mujeres;6
15&;피프틴앤드;JYP Entertainment;2012 - 2019;Mujeres;2
Hello Venus;헬로비너스;Pledis Entertainment;2012 - 2019;Mujeres;6
Six Bomb;식스밤;Pace Maker Entertainment;"2012; 2015 - 2021";Mujeres;3
AOA;에이오에이;FNC Entertainment;2012 - 2024;Mujeres;8
Peernine;피어나인;Escrow Entertainment;2013;Mujeres;3
M&N[n 18]​;아이렉스;S.M. Entertainment;2013 - 2014;Mujeres;2
Duo Flo;듀오플로;Independiente;2013 - 2015;Mujeres;2
2Yoon[n 21]​;투윤;Cube Entertainment;2013 - 2016;Mujeres;2
BOM & HI[n 22]​;BH;YG Entertainment;2013 - 2016;Mujeres;2
T-ara QBS[n 16]​;;;2013 - 2017;Mujeres;3
The Lush;러쉬;Oscar Entertainment;2013 - 2017;Mujeres;3
Ladies' Code;레이디스 코드;Polaris Entertainment;2013 - 2020;Mujeres;3
Live High;라이브 하이;Red Creative Company;2013 - presente;Mujeres;3
Pascol;파스칼;TipTop Entertainment;2013 - presente;Mujeres;2
Solji & Hani[n 27]​;솔지하니;Banana Culture;2013 - presente;Mujeres;2
A.I.N;애인;StarCommerce Entertainment;2014;Mujeres;7
Billion;빌리언;Move Entertainment;2014;Mujeres;6
Luluz;루루즈;Zenith Media Contents;2014 - 2015;Mujeres;3
Sunny Days Real Vocal[n 29]​;써니데이즈 리얼보컬;Haeun Entertainment;2014 - 2015;Mujeres;3
M.O.A;모아;Professional Entertainment;2014 - 2015;Mujeres;7
Ye-A;예아;SHINHOO Entertainment;2014 - 2015;Mujeres;8
Bebop;비밥;HMI Entertainment;2014 - 2016;Mujeres;3
Fresh Girls;풋풋;Chungchun Music;2014 - 2016;Mujeres;2
Purfles;퍼펄즈;Crescendo Music;2014 - 2016;Mujeres;3
Vetty-L;베티엘;Han Entertainment;2014 - 2016;Mujeres;3
Lip Service;립서비스;Chorok Entertainment;2014 - 2017;Mujeres;3
Wings;윙스;Sony Music Korea Entertainment;2014 - 2017;Mujeres;2
KIWI Band M;키위밴드 엠;Star Road Entertainment;2014 - 2018;Mujeres;3
Switch;스위치;DAM Entertainment;2014 - 2018;Mujeres;8
Year 7 Class 1;칠학년일반;Dareun Byeol Entertainment;2014 - 2018;Mujeres;7
Lovelyz;러블리즈;Woollim Entertainment;2014 - 2021;Mujeres;8
Sonamoo;소나무;TS Entertainment;2014 - 2021;Mujeres;7
Date;데이트;Loco Music;2014 - presente;Mujeres;2
Dreamcatcher;드림캐쳐;Dreamcatcher Company;2014 - presente;Mujeres;7
Hi Suhyun;하이 수현;YG Entertainment;2014 - presente;Mujeres;2
Pink BnN[n 33]​;에이핑크;Kakao M;2014 - presente;Mujeres;2
Pungdeng-E;풍뎅이;DOMA Entertainment;2014 - presente;Mujeres;3
Smile Girls;스마일 걸즈;Starhaus Entertainment;2015;Mujeres;2
Verry;베리;StoneShip Entertainment;2015;Mujeres;2
A Plus;에이플러스;Owl Entertainment;2015 - 2016;Mujeres;3
MyB;마이비;Maroo Entertainment;2015 - 2016;Mujeres;6
The Shorties;짜리몽땅;CS Entertainment;2015 - 2016;Mujeres;3
A.KOR BLACK[n 38]​;에이코어 블랙;Doo Republic;2015 - 2017;Mujeres;2
H2L (ex SUS4);에이치투엘;Regolith Entertainment;2015 - 2017;Mujeres;3
Queendom (Sixth Sense);퀸덤;ANJ Entertainment;2015 - 2017;Mujeres;3
Cupid;규피트;Narda Entertainment;2015 - 2019;Mujeres;7
LIME;라임;V&K Entertainment;2015 - 2019;Mujeres;3
Baby Boo;베이비부;Hyunda Entertainment;2015 - 2020;Mujeres;3
GFriend;여자친구;Source Music;2015 - 2021;Mujeres;6
April;에이프릴;DSP Media;2015 - 2022;Mujeres;6
CLC;씨엘씨;Cube Entertainment;2015 - 2022;Mujeres;7
DIA;다이아;MBK Entertainment;2015 - 2022;Mujeres;10
Oh My Girl;오마이걸;WM Entertainment;2015 - presente;Mujeres;7
PPL;피피엘;Parksal Entertainment;2015 - presente;Mujeres;6
Rubber Soul;러버소울;Universal Music;2015 - presente;Mujeres;2
Twice;트와이스;JYP Entertainment;2015 - presente;Mujeres;9
Daydream;데이드림;Voice Level;2016;Mujeres;3
Double B;더블비;In Entertainment;2016;Mujeres;2
Red Sun;레드썬;Invictus Music;2016;Mujeres;2
A.De;에이디이;2ABLE Company;2016 - 2017;Mujeres;6
I.O.I;아이오아이;YMC Entertainment;2016 - 2017;Mujeres;11
O21 (O To One);;Houxiu TV;2016 - 2017;Mujeres;6
Bling;블링;PS Creative;2016 - 2018;Mujeres;6
J-Young;제이영;Softventures Inc.;2016 - 2018;Mujeres;2
Real Girls Project;리얼걸프로젝트;Interactive Media Mix;2016 - 2018;Mujeres;10
CocoSori;코코 소리;Mole Entertainment;2016 - 2019;Mujeres;2
OAHSIS;오아시스;YAMA & HOTCHICKS;2016 - 2019;Mujeres;7
U-US;유어스;Erum Entertainment;2016 - 2019;Mujeres;3
Gugudan;구구단;Jellyfish Entertainment;2016 - 2020;Mujeres;8
LOONA;이달의 소녀;Blockberry Creative;2016 - 2023;Mujeres;12
Momoland;모모랜드;MLD Entertainment;2016 - 2023;Mujeres;9
AOA Cream[n 25]​;에이오에이 크림;FNC Entertainment;2016 - presente;Mujeres;3
Bolbbalgan4;볼빨간 사춘기;Shofar Music;2016 - presente;Mujeres;2
Cosmic Girls (WJSN);우주소녀;Starship Entertainment;2016 - presente;Mujeres;13
L.U.B[n 44]​;루비;MBK Entertainment;2016 - presente;Mujeres;2
MOXIE;막시;Urban Entertainment;2016 - presente;Mujeres;2
Cashcoma;캐시코마;ThisIs Media;2017;Mujeres;2
Girls Next Door[n 47]​;옆집소녀;Il Entertainment;2017;Mujeres;7
S.E.T;에스이티;Hoonstar Entertainment;2017;Mujeres;3
S2;에스투;Climix Entertainment;2017 - 2018;Mujeres;6
Sunny Play;써니플레이;Two-H Company;2017 - 2018;Mujeres;9
Good Day;원포유;C9 Entertainment;2017 - 2019;Mujeres;10
LipBubble;립버블;Zenith Media Contents;2017 - 2019;Mujeres;7
Midnight[n 48]​;미드나잇;C9 Entertainment;2017 - 2019;Mujeres;3
Pristin;프리스틴;Pledis Entertainment;2017 - 2019;Mujeres;10
SHA SHA;샤샤;Major Entertainment;2017 - 2019;Mujeres;6
Bonus Baby;보너스베이비;Maroo Entertainment;2017 - 2020;Mujeres;6
Limesoda;라임소다;DMaker Entertainment;2017 - 2020;Mujeres;3
ABRY;에이브리;Weed HS;2017 - presente;Mujeres;3
Alice;엘리스;Hunus Entertainment;2017 - 2024;Mujeres;7
Favorite;페이버릿;Astory Entertainment;2017 - presente;Mujeres;6
Good Night[n 48]​;안녕히 주무세요;C9 Entertainment;2017 - presente;Mujeres;2
HASHTAG;해시태그;Luk Factory;2017 - presente;Mujeres;7
LOONA Odd Eye Circle[n 50]​;이달의 소녀 오드아이써클;MODHAUS;2017 - presente;Mujeres;3
Soda Bomb[n 53]​;소다밤;Pace Maker Entertainment;2017 - presente;Mujeres;2
Weki Meki;위키미키;Fantagio Entertainment;2017 - presente;Mujeres;8
BOB4;;In Entertainment;2012;Hombres;4
Mr.Slam;미스터슬램;Kkun Entertainment;2012;Hombres;5
4 Heaven;포헤븐;Bridge Entertainment;2012 - 2013;Hombres;4
Attack;;A Entertainment;2012 - 2013;Hombres;5
CHAOS;카오스;Winning InSight;2012 - 2013;Hombres;5
K-Boys;케이보이즈;NSB Korea Entertainment;2012 - 2013;Hombres;5
7.9.4.2;칠구사이;Contents Storage Company;2012 - 2014;Hombres;5
E7;이세븐;Excellent Entertainment;2012 - 2014;Hombres;7
EXO-K[n 12]​;엑소-K;S.M. Entertainment;2012 - 2014;Hombres;6
EXO-M[n 12]​;엑소-M;S.M. Entertainment;2012 - 2014;Hombres;6
F.I.X;픽스;The Groove Entertainment;2012 - 2014;Hombres;3
Wonder Boyz;원더보이즈;ENT102;2012 - 2014;Hombres;4
A-Prince;에이프린스;New Planet Entertainment;2012 - 2015;Hombres;5
Airplane;에어플레인;Winning InSight;2012 - 2015;Hombres;3
C-Clown;씨클라운;Sony Music Korea Entertainment;2012 - 2015;Hombres;6
New-Us;뉴어스;Star Cubic Entertainment;2012 - 2015;Hombres;4
SPEED[n 8]​;스피드;MBK Entertainment;2012 - 2015;Hombres;6
Excite;익사이트;150 Entertainment;2012 - 2016;Hombres;4
Lunafly;루나플라이;Nega Network;2012 - 2017;Hombres;3
S.M. The Performance;SM 성능;S.M. Entertainment;2012 - 2017;Hombres;8
Offroad;오프로드;SHow Entertainment;2012 - 2018;Hombres;5
A-JAX;에이젝스;DSP Media;2012 - 2019;Hombres;7
B.A.P;비에이피;TS Entertainment;2012 - 2019;Hombres;6
BIGSTAR;빅스타;Brave Entertainment;2012 - 2019;Hombres;5
100%;백퍼센트;TOP Media;2012 - 2021;Hombres;7
NU'EST;뉴이스트;Pledis Entertainment;2012 - 2022;Hombres;5
24K;투포케이;Choeun Entertainment;2012 - presente;Hombres;5
2BiC;투빅;Nextar Entertainment;2012 - presente;Hombres;2
4K[n 15]​;포케이;Choeun Entertainment;2012 - presente;Hombres;3
A.cian;에이션;Wings Entertainment;2012 - presente;Hombres;4
BtoB;비투비;Cube Entertainment;2012 - presente;Hombres;7
Cross Gene;크로스진;Amuse Korea Inc.;2012 - presente;Hombres;4
G.IAM;지아이엠;Red Apple Entertainment;"2012 - 2014; 2018 - presente";Hombres;4
Hanch Brothers (ex TASTY);Hanch兄弟;Xiong Wei Entertainment;2012 - presente;Hombres;2
JJ Project;제이제이 프로젝트;JYP Entertainment;2012 - presente;Hombres;2
M-Tiful;엠티플;LOEN Entertainment;2012 - presente;Hombres;2
Mr.Mr;미스터미스터;E-HO Entertainment;2012 - presente;Hombres;5
TimeZ;타임즈;SuperJet Entertainment;2012 - presente;Hombres;6
Toxic;톡식 밴드;TNC Company;2012 - presente;Hombres;2
VIXX;빅스;Jellyfish Entertainment;2012 - presente;Hombres;6
B.O.i;비오아이;M.fel Entertainment;2013;Hombres;5
CollaVoice;콜라보이스;GF Entertainment;2013;Hombres;4
ESQ;이에스큐;Avance Entertainment;2013;Hombres;5
Got2B;;SW Entertainment;2013;Hombres;4
Iconize;아이콘아이즈;Nekki Entertainment;2013;Hombres;5
Jackpot;잭팟;TS Entertainment;2013;Hombres;9
Jungukgu;전국구;Cube Entertainment;2013;Hombres;4
MAIN;;Wave On Entertainment;2013;Hombres;
Never Mind;네버마인드;Toeast Music;2013;Hombres;4
PURE;퓨어;Pure Entertainment;2013;Hombres;5
Victor;빅터;On Spot Entertainment Korea;2013;Hombres;5
ZE:A FIVE[n 17]​;제아파이브;Star Empire Entertainment;2013;Hombres;5
ZE:A 4U[n 17]​;제아파이브;Star Empire Entertainment;2013;Hombres;4
DEMION;데미온;Lions Bridge Entertainment;2013 - 2014;Hombres;5
I-REX;아이렉스;Tarzan Entertainment;2013 - 2014;Hombres;5
Notice;노티스;Gaon Entertainment;2013 - 2014;Hombres;6
NU'EST-M[n 19]​;뉴이스트 M;Pledis Entertainment;2013 - 2014;Hombres;6
Champs;n/a;JS Entertainment;2013 - 2015;Hombres;5
LC9;엘씨나인;Nega Network;2013 - 2015;Hombres;6
M4M;엠포엠;Cube Entertainment;2013 - 2015;Hombres;4
M.I.K;무브인키;Global Artist Entertainment;2013 - 2015;Hombres;4
M.Pire;엠파이어;Luce Entertainment;2013 - 2015;Hombres;7
Pro C[n 20]​;프로씨;GNI Entertainment;2013 - 2015;Hombres;2
J2M;제이투엠;TU Entertainment;2013 - 2016;Hombres;2
NOM;엔오엠;JM STAR Entertainment;2013 - 2016;Hombres;5
Infinite H[n 23]​;인피니트H;Woollim Entertainment;2013 - 2017;Hombres;2
HISTORY;히스토리;LOEN Entertainment;2013 - 2017;Hombres;5
Say Yes;세이 예스;Music Factory Entertainment;2013 - 2017;Hombres;5
Underdog;언더독;2ABLE Company;2013 - 2017;Hombres;5
Boys Republic;소년공화국;Happy Tribe Entertainment;2013 - 2018;Hombres;5
uBEAT[n 24]​;;NH Media;2013 - 2019;Hombres;3
100% V[n 26]​;백퍼센트 V;TOP Media;2013 - 2021;Hombres;4
Xeno-T (ex Topp Dogg);탑독;Hunus Entertainment;2013 - 2021;Hombres;5
AlphaBAT;알파벳;Simtong Entertainment;2013 - presente;Hombres;5
BTS;방탄소년단;Big Hit Music;2013 - presente;Hombres;7
Egobomb;더 이고밤;Sniper Sound;2013 - presente;Hombres;2
GB9 (Gilgu Bonggu);길구봉구;The Music Works;2013 - presente;Hombres;2
Honey G;허니지;Chungchun Music;2013 - presente;Hombres;3
N.Flying;엔플라잉;FNC Entertainment;2013 - presente;Hombres;5
N.O.M (Nature of Man);엔오엠;BROS Entertainment;2013 - presente;Hombres;2
A.T.O;아토;CON Entertainment;2014;Hombres;4
Herycle;헤리클;Gul Dduk Entertainment;2014;Hombres;5
Penta-G;펜타지;Mirrorball Music;2014;Hombres;5
Toheart;투하트;Woollim Entertainment;2014;Hombres;2
X10;엑스텐;Happy Star Entertainment;2014;Hombres;2
Billionaire;빌리어네어;Independiente;2014 - 2015;Hombres;2
BLAST;블래스트;Kings Entertainment;2014 - 2015;Hombres;5
BTL;비티엘;SHINHOO Entertainment;2014 - 2015;Hombres;8
FameUs;페임어스;KN Media;2014 - 2015;Hombres;6
M.I.7;;D-Business Entertainment;2014 - 2015;Hombres;7
Ugly Pumpkin;어글리펌킨;GF Entertainment;2014 - 2015;Hombres;3
Atomic Kiz;아토믹키즈;Leaders Contents Company;2014 - 2016;Hombres;5
HeartB;하트비;Marblepop Entertainment;2014 - 2016;Hombres;4
JACE;제이스;Right Achievement Group;2014 - 2016;Hombres;2
Welldone Potato;웰던포테이토;Banana Culture;2014 - 2016;Hombres;4
ZEST;제스트;Zenith Media Contents;2014 - 2016;Hombres;5
ZPZG;지피지기;JStar Entertainment;2014 - 2016;Hombres;4
AA[n 31]​;에이에이;SHow Entertainment;2014 - 2017;Hombres;2
HIGH4;하이포;N.A.P. Entertainment;2014 - 2017;Hombres;4
Madtown;매드타운;GNI Entertainment;2014 - 2017;Hombres;7
Nutaz;누타즈;MBK Entertainment;2014 - 2017;Hombres;2
The Legend;전설;SS Entertainment;2014 - 2017;Hombres;5
Be.A (ex K-MUCH);비에이;Chrome Entertainment;2014 - 2018;Hombres;5
BEAT WIN;비트 윈;Heavenly Star Content;2014 - 2018;Hombres;5
PUREBOY;순정소년;It Entertainment;2014 - 2018;Hombres;9
HALO;헤일로;Histar Entertainment;2014 - 2019;Hombres;6
5URPRISE;서프라이즈;Fantagio Entertainment;2014 - 2020;Hombres;5
Hotshot;핫샷;Star Crew Entertainment;2014 - 2021;Hombres;6
2000WON;이천원;Reve Entertainment;2014 - presente;Hombres;2
B.I.G;비아이지;GH Entertainment;2014 - presente;Hombres;6
Beat Burger;비트버거;S.M. Entertainment;2014 - presente;Hombres;5
BigFlo;빅플로;HO Company;2014 - presente;Hombres;5
GOT7;갓세븐;JYP Entertainment;2014 - presente;Hombres;7
Hyukoh;혁오;YG Entertainment;2014 - presente;Hombres;4
Infinite F[n 23]​;인피니트 F;Woollim Entertainment;2014 - presente;Hombres;3
JJCC;더블제이씨;Jackie Chan Group Korea;2014 - presente;Hombres;5
LU:KUS (ex L.A.U);루커스;JWK Entertainment;2014 - presente;Hombres;4
Rion Five;리온파이브;Narda Entertainment;2014 - presente;Hombres;6
The King;더킹;Stallion Entertainment;2014 - presente;Hombres;5
