GRUPO ;EMPRESA ;AÑO DEBUT;AÑO FIN;GÉNERO;N° MIEMBROS;Chile (SI/NO);OYENTES SPOTIFY;
Six Bomb;Pace Maker Entertainment;"2012; 2015 ";2021;Mujeres;3;0;Sin datos;
AOA;FNC Entertainment;2012;2024;Mujeres;8;0;Sin datos;
Peernine;Escrow Entertainment;2013;2013;Mujeres;3;0;Sin datos;
M&N;S.M. Entertainment;2013;2014;Mujeres;2;0;Sin datos;
Duo Flo;Independiente;2013;2015;Mujeres;2;0;Sin datos;
2Yoon;Cube Entertainment;2013;2016;Mujeres;2;0;Sin datos;
BOM & HI;YG Entertainment;2013;2016;Mujeres;2;0;Sin datos;
T-ara QBS;;2013;2017;Mujeres;3;0;Sin datos;
The Lush;Oscar Entertainment;2013;2017;Mujeres;3;0;Sin datos;
Ladies' Code;Polaris Entertainment;2013;2020;Mujeres;3;0;Sin datos;
Live High;Red Creative Company;2013; presente;Mujeres;3;0;Sin datos;
Pascol;TipTop Entertainment;2013; presente;Mujeres;2;0;Sin datos;
Solji & Hani;Banana Culture;2013; presente;Mujeres;2;0;Sin datos;
A.I.N;StarCommerce Entertainment;2014;2014;Mujeres;7;0;Sin datos;
Billion;Move Entertainment;2014;2014;Mujeres;6;0;Sin datos;
Luluz;Zenith Media Contents;2014;2015;Mujeres;3;0;Sin datos;
Sunny Days Real Vocal;Haeun Entertainment;2014;2015;Mujeres;3;0;Sin datos;
M.O.A;Professional Entertainment;2014;2015;Mujeres;7;0;Sin datos;
Ye-A;SHINHOO Entertainment;2014;2015;Mujeres;8;0;Sin datos;
Bebop;HMI Entertainment;2014;2016;Mujeres;3;0;Sin datos;
Fresh Girls;Chungchun Music;2014;2016;Mujeres;2;0;Sin datos;
Purfles;Crescendo Music;2014;2016;Mujeres;3;0;Sin datos;
Vetty-L;Han Entertainment;2014;2016;Mujeres;3;0;Sin datos;
Lip Service;Chorok Entertainment;2014;2017;Mujeres;3;0;Sin datos;
Wings;Sony Music Korea Entertainment;2014;2017;Mujeres;2;;Sin datos;
KIWI Band M;Star Road Entertainment;2014;2018;Mujeres;3;0;Sin datos;
Switch;DAM Entertainment;2014;2018;Mujeres;8;0;Sin datos;
Year 7 Class 1;Dareun Byeol Entertainment;2014;2018;Mujeres;7;0;Sin datos;
Lovelyz;Woollim Entertainment;2014;2021;Mujeres;8;0;Sin datos;
Sonamoo;TS Entertainment;2014;2021;Mujeres;7;0;Sin datos;
Date;Loco Music;2014; presente;Mujeres;2;0;Sin datos;
Dreamcatcher;Dreamcatcher Company;2014; presente;Mujeres;7;0;Sin datos;
Hi Suhyun;YG Entertainment;2014; presente;Mujeres;2;0;Sin datos;
Pink BnN;Kakao M;2014; presente;Mujeres;2;0;Sin datos;
