GRUPO;NOMBRE TOUR;AÑO ;MES ;PAÍS;CIUDAD ;RECINTO;CAPACIDAD;ENTRADA MÁS BARATA;ENTRADA MÁS CARA
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;5;Australia ;Sídney;Qudos Bank Arena ;21000;63,95 USD;220,06 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;5;Japón;Osaka ;Osaka Jo-Hall;16000;61,48 USD;78,95 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;6;Japón;Hiroshima ;Hiroshima Green Arena ;10000;61,48 USD;78,95 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;6;Japón;Nagoya ;Nippon Gaishi Hall;10000;61,48 USD;78,95 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;6;Japón;Fukuoka ;Marine Messe Fukuoka ;15000;61,48 USD;78,95 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;7;Japón;Sapporo;Makomanai Sekisui Heim Ice Arena ;10024;61,48 USD;78,95 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;10;Japón;Osaka ;Kyocera Dome ;55000;61,48 USD;78,95 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;10;Taiwán;Taipéi;Multipurpose Gymnasium National;15000;55,48 USD;209,59 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;11;China ;Macao ;Cotai Arena ;14000;85,07 USD;297,74 USD
BTS;"BTS Live Trilogy Episode III ""The Wings Tour""";2017;12;Corea del Sur;Seúl;Gocheok Sky Dome;16744;Sin datos;Sin datos
BTS;"BTS World Tour ""Love Yourself""";2018;8;Corea del Sur;Seúl;Olympic Stadium ;69950;69,62 USD;77,36 USD
BTS;"BTS World Tour ""Love Yourself""";2018;9;Estados Unidos ;Los Ángeles;Staples Center ;20000;60,00 USD;250,00 USD
BTS;"BTS World Tour ""Love Yourself""";2018;9;Estados Unidos ;Oakland;Oracle Arena ;19200;60,00 USD;250,00 USD
BTS;"BTS World Tour ""Love Yourself""";2018;9;Estados Unidos ;Texas;Forth Worth Convention Center ;13000;60,00 USD;250,00 USD
BTS;"BTS World Tour ""Love Yourself""";2018;9;Canadá;Hamilton;First Ontario Centre;17383;57,81 USD;234,83 USD
BTS;"BTS World Tour ""Love Yourself""";2018;9;Estados Unidos ;New Jersey;Prudential Center Newark NJ;16755;60,00 USD;250,00 USD
BTS;"BTS World Tour ""Love Yourself""";2018;10;Estados Unidos ;Chicago;United Center;23500;60,00 USD;250,00 USD
BTS;"BTS World Tour ""Love Yourself""";2018;10;Estados Unidos ;Nueva York ;Citi Field Stadium ;41800;60,00 USD;250,00 USD
BTS;"BTS World Tour ""Love Yourself""";2018;10;Inglaterra ;Londres ;The O2 Arena ;20000;72,00 USD;253,44 USD
BTS;"BTS World Tour ""Love Yourself""";2018;10;Países Bajos ;Ámsterdam ;Ziggo Dome ;17000;76,03 USD;299,52 USD
BTS;"BTS World Tour ""Love Yourself""";2018;10;Alemania ;Berlín ;Mercedes Benz Arena ;71000;84,27 USD;335,98 USD
BTS;"BTS World Tour ""Love Yourself""";2018;10;Francia ;París;Accors Hotels Arena ;20300;77,76 USD;318,50 USD
BTS;"BTS World Tour ""Love Yourself""";2018;11;Japón;Tokio;Tokyo Dome ;55000;80,58 USD;84,42 USD
BTS;"BTS World Tour ""Love Yourself""";2018;11;Japón;Osaka ;Kyocera Dome ;55000;80,58 USD;84,42 USD
BTS;"BTS World Tour ""Love Yourself""";2018;12;Taiwán;Taoyuan;Taoyuan International Baseball Stadium;20000;24,66 USD;240,41 USD
BTS;"BTS World Tour ""Love Yourself""";2018;1;Japón;Nagoya ;Nagoya Dome;49000;80,58 USD;84,42 USD
BTS;"BTS World Tour ""Love Yourself""";2019;1;Singapur ;Singapur;Singapore National Stadium ;55000;67,46 USD;266,78 USD
