TIPO DE EVENTO,AÑO,MES,PAÍS,CIUDAD,RECINTO,CAPACIDAD,ENTRADA MÁS BARATA,ENTRADA MÁS CARA ,NOMBRE GIRA
Concierto,2014,11,Japón,Fukuoka,Marinne Messe,13000,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,11,Japón,Sapporo,Makomanai Ice Arena,10024,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,11,Japón,Tokyo,Yoyogi National Gymnasium,"13,291",,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,12,Japón,Tokyo,Yoyogi National Gymnasium,"13,291",,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,12,Japón,Osaka,Osaka Jo-Hall,16000,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2014,12,Japón,Kobe,Kobe World Memorial Hall,8000,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Conciertos Participativos,2014,6,Brasil,Río de Janeiro,HSBC Arena,15000,,,Music Bank in Brazil
Conciertos Participativos,2014,8,Corea del Sur,Seúl,Seoul Olympic Stadium,69950,,,SMTown Live in Seúl
Concierto,2015,3,Japón,Tokyo,Tokyo Dome,55000,,,"The 3nd Japan Hall and Arena Tour SHINee World ""I'm Your Boy"""
Concierto,2015,5,Corea del Sur,Seúl,Olympic Gymnastics Arena,15000,,,"SHINee Concert ""SHINee World IV"""
Concierto,2015,8,Taiwán,Taipei,Xinzhuang Gymnasium,7125,,,"SHINee Concert ""SHINee World IV"""
Concierto,2015,9,Tailandia,Bangkok,Impact Arena,12000,42 US$,140 US$,"SHINee Concert ""SHINee World IV"""
Concierto,2015,10,China,Shangai,Shangai Indoor Stadium,13000,,,"SHINee Concert ""SHINee World IV"""
Conciertos Participativos,2015,3,Taiwán,Taipei,Hsinchu County Stadium,15000,,,SMTown Live in Taiwán
Conciertos Participativos,2015,3,Malasia,Sepang,Sepang International Circuit,130000,,,F1 After-Race Concert in Sepang
Concierto,2016,1,Japón,Fukuoka,Marinne Messe,13000,,,"4th Japan Tour SHINee World ""DxDxD"""
Concierto,2016,2,Japón,Fukui,Sun Dome,10411,,,"4th Japan Tour SHINee World ""DxDxD"""
Concierto,2016,2,Japón,Kobe,Kobe World Memorial Hall,8000,,,"4th Japan Tour SHINee World ""DxDxD"""
Concierto,2016,2,Japón,Tokyo,Yoyogi National Gymnasium,"13,291",,,"4th Japan Tour SHINee World ""DxDxD"""
Concierto,2016,3,Japón,Niigata,Toki Messe,10000,,,"4th Japan Tour SHINee World ""DxDxD"""
Concierto,2016,4,Japón,Nagoya,Nippon Gaishi Hall,10000,,,"4th Japan Tour SHINee World ""DxDxD"""
Concierto,2016,4,Japón,Hiroshima,Hiroshima Green Arena,10000,,,"4th Japan Tour SHINee World ""DxDxD"""
Concierto,2016,4,Japón,Hokkaido,Hokkaido Prefecture Sports Center,8000,,,"4th Japan Tour SHINee World ""DxDxD"""
Concierto,2016,5,Japón,Osaka,Kyocera Dome,55000,,,"4th Japan Tour SHINee World ""DxDxD"""
Concierto,2016,5,Japón,Tokyo,Tokyo Dome,55000,,,"4th Japan Tour SHINee World ""DxDxD"""
Concierto,2016,9,Corea del Sur,Seúl,Olympic Gymnastics Arena,15000,,,"SHINee Concert ""SHINee World V"" "
Concierto,2016,11,Indonesia,Jakarta,Jakarta internacional Expo,7000,,,"SHINee Concert ""SHINee World V"" "
Concierto,2016,12,Japón,Yokohama,Yokohama Arena,17000,,,"SHINee Concert ""SHINee World V"" "
Concierto,2017,3,Canada,Toronto,Sony Centre,3191,,,"SHINee Concert ""SHINee World V"" "
Concierto,2017,3,Canada,Vancouver,The Orpheum,2780,,,"SHINee Concert ""SHINee World V"" "
Concierto,2017,3,EEUU,Dallas,Verizon Theratre,6350,65 US$,215 US$,"SHINee Concert ""SHINee World V"" "
Concierto,2017,3,EEUU,Los Angeles,Shrine Auditorium,6300,65 US$,215 US$,"SHINee Concert ""SHINee World V"" "
Concierto,2017,5,China,Hong Kong,Asian World Expo Arena,14000,,,"SHINee Concert ""SHINee World V"" "
Concierto,2017,6,Taiwán,Taipei,Xinzhuang Gymnasium,7125,,,"SHINee Concert ""SHINee World V"" "
Concierto,2017,6,Tailandia,Bangkok,Thunder Dome,15000,,,"SHINee Concert ""SHINee World V"" "
Concierto,2017,1,Japón,Fukui,Sun Dome,10411,,,"5th Japan Tour SHINee World ""Five"""
Concierto,2017,2,Japón,Hyogo,Kobe World Memorial Hall,8000,,,"5th Japan Tour SHINee World ""Five"""
Concierto,2017,2,Japón,Fukuoka,Marinne Messe,13000,,,"5th Japan Tour SHINee World ""Five"""
Concierto,2017,2,Japón,Osaka,Osaka Jo-Hall,16000,,,"5th Japan Tour SHINee World ""Five"""
Concierto,2017,3,Japón,Shizouka,Shizuoka EcoPa Arena,10000,,,"5th Japan Tour SHINee World ""Five"""
Concierto,2017,3,Japón,Tokyo,Yoyogi National Gymnasium,"13,291",,,"5th Japan Tour SHINee World ""Five"""
